日期,假日註記,indication
2020/1/1,1,元旦
2020/1/2,0,
2020/1/3,0,
2020/1/4,1,六
2020/1/5,1,日
2020/1/6,0,
2020/1/7,0,
2020/1/8,0,
2020/1/9,0,
2020/1/10,0,
2020/1/11,1,六
2020/1/12,1,日
2020/1/13,0,
2020/1/14,0,
2020/1/15,0,
2020/1/16,0,
2020/1/17,0,
2020/1/18,1,六
2020/1/19,1,日
2020/1/20,0,
2020/1/21,0,
2020/1/22,0,
2020/1/23,1,農曆春節
2020/1/24,1,農曆春節
2020/1/25,1,農曆春節
2020/1/26,1,農曆春節
2020/1/27,1,農曆春節
2020/1/28,1,農曆春節
2020/1/29,1,農曆春節
2020/1/30,0,
2020/1/31,0,
2020/2/1,1,六
2020/2/2,1,日
2020/2/3,0,
2020/2/4,0,
2020/2/5,0,
2020/2/6,0,
2020/2/7,0,
2020/2/8,1,六
2020/2/9,1,日
2020/2/10,0,
2020/2/11,0,
2020/2/12,0,
2020/2/13,0,
2020/2/14,0,
2020/2/15,0,補班
2020/2/16,1,日
2020/2/17,0,
2020/2/18,0,
2020/2/19,0,
2020/2/20,0,
2020/2/21,0,
2020/2/22,1,六
2020/2/23,1,日
2020/2/24,0,
2020/2/25,0,
2020/2/26,0,
2020/2/27,0,
2020/2/28,1,228連假
2020/2/29,1,229連假
2020/3/1,1,230連假
2020/3/2,0,
2020/3/3,0,
2020/3/4,0,
2020/3/5,0,
2020/3/6,0,
2020/3/7,1,六
2020/3/8,1,日
2020/3/9,0,
2020/3/10,0,
2020/3/11,0,
2020/3/12,0,
2020/3/13,0,
2020/3/14,1,六
2020/3/15,1,日
2020/3/16,0,
2020/3/17,0,
2020/3/18,0,
2020/3/19,0,
2020/3/20,0,
2020/3/21,1,六
2020/3/22,1,日
2020/3/23,0,
2020/3/24,0,
2020/3/25,0,
2020/3/26,0,
2020/3/27,0,
2020/3/28,1,六
2020/3/29,1,日
2020/3/30,0,
2020/3/31,0,
2020/4/1,0,
2020/4/2,1,兒童節連假
2020/4/3,1,兒童節連假
2020/4/4,1,兒童節連假
2020/4/5,1,兒童節連假
2020/4/6,0,
2020/4/7,0,
2020/4/8,0,
2020/4/9,0,
2020/4/10,0,
2020/4/11,1,六
2020/4/12,1,日
2020/4/13,0,
2020/4/14,0,
2020/4/15,0,
2020/4/16,0,
2020/4/17,0,
2020/4/18,1,六
2020/4/19,1,日
2020/4/20,0,
2020/4/21,0,
2020/4/22,0,
2020/4/23,0,
2020/4/24,0,
2020/4/25,1,六
2020/4/26,1,日
2020/4/27,0,
2020/4/28,0,
2020/4/29,0,
2020/4/30,0,
2020/5/1,1,勞動節
2020/5/2,1,六
2020/5/3,1,日
2020/5/4,0,
2020/5/5,0,
2020/5/6,0,
2020/5/7,0,
2020/5/8,0,
2020/5/9,1,六
2020/5/10,1,日
2020/5/11,0,
2020/5/12,0,
2020/5/13,0,
2020/5/14,0,
2020/5/15,0,
2020/5/16,1,六
2020/5/17,1,日
2020/5/18,0,
2020/5/19,0,
2020/5/20,0,
2020/5/21,0,
2020/5/22,0,
2020/5/23,1,六
2020/5/24,1,日
2020/5/25,0,
2020/5/26,0,
2020/5/27,0,
2020/5/28,0,
2020/5/29,0,
2020/5/30,1,六
2020/5/31,1,日
2020/6/1,0,
2020/6/2,0,
2020/6/3,0,
2020/6/4,0,
2020/6/5,0,
2020/6/6,1,六
2020/6/7,1,日
2020/6/8,0,
2020/6/9,0,
2020/6/10,0,
2020/6/11,0,
2020/6/12,0,
2020/6/13,1,六
2020/6/14,1,日
2020/6/15,0,
2020/6/16,0,
2020/6/17,0,
2020/6/18,0,
2020/6/19,0,
2020/6/20,0,補班
2020/6/21,1,日
2020/6/22,0,
2020/6/23,0,
2020/6/24,0,
2020/6/25,1,端午連假
2020/6/26,1,端午連假
2020/6/27,1,端午連假
2020/6/28,1,端午連假
2020/6/29,0,
2020/6/30,0,
2020/7/1,0,
2020/7/2,0,
2020/7/3,0,
2020/7/4,1,六
2020/7/5,1,日
2020/7/6,0,
2020/7/7,0,
2020/7/8,0,
2020/7/9,0,
2020/7/10,0,
2020/7/11,1,六
2020/7/12,1,日
2020/7/13,0,
2020/7/14,0,
2020/7/15,0,
2020/7/16,0,
2020/7/17,0,
2020/7/18,1,六
2020/7/19,1,日
2020/7/20,0,
2020/7/21,0,
2020/7/22,0,
2020/7/23,0,
2020/7/24,0,
2020/7/25,1,六
2020/7/26,1,日
2020/7/27,0,
2020/7/28,0,
2020/7/29,0,
2020/7/30,0,
2020/7/31,0,
2020/8/1,1,六
2020/8/2,1,日
2020/8/3,0,
2020/8/4,0,
2020/8/5,0,
2020/8/6,0,
2020/8/7,0,
2020/8/8,1,六
2020/8/9,1,日
2020/8/10,0,
2020/8/11,0,
2020/8/12,0,
2020/8/13,0,
2020/8/14,0,
2020/8/15,1,六
2020/8/16,1,日
2020/8/17,0,
2020/8/18,0,
2020/8/19,0,
2020/8/20,0,
2020/8/21,0,
2020/8/22,1,六
2020/8/23,1,日
2020/8/24,0,
2020/8/25,0,
2020/8/26,0,
2020/8/27,0,
2020/8/28,0,
2020/8/29,1,六
2020/8/30,1,日
2020/8/31,0,
2020/9/1,0,
2020/9/2,0,
2020/9/3,0,
2020/9/4,0,
2020/9/5,1,六
2020/9/6,1,日
2020/9/7,0,
